OID_,World Port Index Number,Main Port Name,Latitude,Longitude
0,8210,Baltimore,39.266667,-76.583333
1,61662,Iwakuni Ko,34.183333,132.25
2,61567,Himeji,34.75,134.633333
3,61560,Kobe,34.65,135.183333
4,60250,Dalian,38.916667,121.666667
5,61480,Nagoya Ko,35.066667,136.866667
6,48040,As Suways,29.966667,32.55
7,47100,Mombasa,-4.066667,39.666667
8,45640,Oran,35.7,-0.633333
9,45570,Alger,36.766667,3.066667
10,45165,Al Iskandariyh (Alexandria),31.166667,29.833333
11,48600,Karachi,24.783333,66.983333
12,48325,Mina Salman,26.2,50.633333
13,40500,Brindisi,40.65,17.983333
14,40250,Augusta,37.216667,15.233333
15,40100,Messina,38.2,15.566667
16,39960,Napoli,40.833,14.275
17,39520,La Spezia,44.1,9.833333
18,39470,Genova,44.398,8.922
19,37990,Lisboa,38.7,-9.166667
20,9300,Corpus Christi,27.816667,-97.4
21,9240,Houston,29.75,-95.283333
22,8980,Loop Terminal,28.883333,-90.016667
23,40115,Gioia Tauro,38.444,15.89
24,48327,Khalifa Bin Salman,26.25,50.75
25,48357,Mina Ash Shuaybah,29.033333,48.166667
26,48361,Mina Al Ahmadi,29.066667,48.166667
27,44752,Nemrut Limani Bay,38.766667,26.916667
28,45151,Damietta,31.483333,31.75
29,61595,Mizushima Ko,34.5,133.75
30,62430,Hakata,33.6,130.4
31,38440,Alicante,38.333333,-0.483333
32,59710,Cagayan De Oro,8.5,124.666667
33,61568,Higashi-Harima,34.7,134.833333
34,61605,Fukuyama,34.433333,133.433333
35,40330,Valletta Harbors,35.9,14.516667
36,12920,Rio De Janeiro,-22.9,-43.166667
37,43100,Soudha,35.483333,24.183333
38,42230,Piraievs,37.933333,23.65
39,39215,Sarroch Oil Terminal,39.083333,9.033333
40,35840,Port Of Le Havre,49.483333,0.116667
41,40240,Siracusa,37.05,15.283333
42,41010,Rijeka Luka,45.333333,14.433333
43,46855,Richards Bay,-28.81,32.09833333
44,40470,Taranto,40.466667,17.2
45,57425,Tapis Marine Terminal A,5.516667,105.016667
46,48340,Ras  Tannurah,26.633333,50.166667
47,60150,Weihai,37.5,122.1
48,46130,Lagos,6.4,3.4
49,48263,Khawr Fakkan,25.36277778,56.36888889
50,15770,Manzanillo,19.05,-104.316667
